document,document_file_path,policy_id,employment_category,min_income_egp
This policy applies to Retired / Pensioner applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.51% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_039.txt,POL-039,Retired / Pensioner,7000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.53% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_040.txt,POL-040,Salaried (Private),5000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.26% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_041.txt,POL-041,Salaried (Private),10000
This policy applies to Expat (Remittance) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.98% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_042.txt,POL-042,Expat (Remittance),40000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 20.24% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_043.txt,POL-043,Self-Employed (Professional),40000
This policy applies to Corporate (Multinational) applicants purchasing New Only vehicles. The interest rate is set at 16.17% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_044.txt,POL-044,Corporate (Multinational),10000
This policy applies to Self-Employed (Commercial) applicants purchasing New Only vehicles. The interest rate is set at 18.56% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_045.txt,POL-045,Self-Employed (Commercial),15000
This policy applies to Expat (Remittance) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.31% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_046.txt,POL-046,Expat (Remittance),40000
This policy applies to Corporate (Multinational) applicants purchasing New Only vehicles. The interest rate is set at 16.45% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_047.txt,POL-047,Corporate (Multinational),15000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 20.94% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_048.txt,POL-048,Self-Employed (Professional),5000
This policy applies to Self-Employed (Professional) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 20.98% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_049.txt,POL-049,Self-Employed (Professional),7000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.78% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_050.txt,POL-050,Salaried (Private),7000
This policy applies to Self-Employed (Professional) applicants purchasing New Only vehicles. The interest rate is set at 20.55% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_051.txt,POL-051,Self-Employed (Professional),25000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 14.5% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_052.txt,POL-052,Salaried (Public Sector),25000
This policy applies to Self-Employed (Commercial) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 21.35% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_053.txt,POL-053,Self-Employed (Commercial),25000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 20.6% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_054.txt,POL-054,Freelancer (Creative),5000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.39% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_055.txt,POL-055,Salaried (Private),7000
This policy applies to Salaried (Private) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.82% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_056.txt,POL-056,Salaried (Private),40000
This policy applies to Retired / Pensioner applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.14% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_057.txt,POL-057,Retired / Pensioner,10000
This policy applies to Retired / Pensioner applicants purchasing New Only vehicles. The interest rate is set at 15.71% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_058.txt,POL-058,Retired / Pensioner,7000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.82% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_059.txt,POL-059,Salaried (Private),15000
This policy applies to Corporate (Multinational) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.0% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_060.txt,POL-060,Corporate (Multinational),10000
This policy applies to Expat (Remittance) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.17% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_061.txt,POL-061,Expat (Remittance),5000
This policy applies to Self-Employed (Professional) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 18.3% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_062.txt,POL-062,Self-Employed (Professional),25000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 15.4% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_063.txt,POL-063,Corporate (Multinational),15000
This policy applies to Salaried (Private) applicants purchasing New Only vehicles. The interest rate is set at 15.15% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_064.txt,POL-064,Salaried (Private),15000
This policy applies to Corporate (Multinational) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 13.47% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_065.txt,POL-065,Corporate (Multinational),5000
This policy applies to Freelancer (Creative) applicants purchasing New Only vehicles. The interest rate is set at 18.32% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_066.txt,POL-066,Freelancer (Creative),5000
This policy applies to Retired / Pensioner applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.05% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_067.txt,POL-067,Retired / Pensioner,25000
This policy applies to Corporate (Local LLC) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.25% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_068.txt,POL-068,Corporate (Local LLC),10000
This policy applies to Corporate (Local LLC) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 16.35% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_069.txt,POL-069,Corporate (Local LLC),40000
This policy applies to Retired / Pensioner applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.66% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_070.txt,POL-070,Retired / Pensioner,7000
This policy applies to Corporate (Local LLC) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.29% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_071.txt,POL-071,Corporate (Local LLC),25000
This policy applies to Self-Employed (Commercial) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.85% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_072.txt,POL-072,Self-Employed (Commercial),5000
This policy applies to Corporate (Multinational) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 14.63% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_073.txt,POL-073,Corporate (Multinational),7000
This policy applies to Retired / Pensioner applicants purchasing Commercial Trucks vehicles. The interest rate is set at 16.7% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_074.txt,POL-074,Retired / Pensioner,5000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.69% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_075.txt,POL-075,Salaried (Private),15000
This policy applies to Salaried (Public Sector) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.04% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_076.txt,POL-076,Salaried (Public Sector),25000
This policy applies to Salaried (Private) applicants purchasing New Only vehicles. The interest rate is set at 16.78% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_077.txt,POL-077,Salaried (Private),40000
This policy applies to Freelancer (Tech) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 20.57% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_078.txt,POL-078,Freelancer (Tech),7000
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 18.19% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_079.txt,POL-079,Salaried (Public Sector),10000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.44% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_080.txt,POL-080,Freelancer (Tech),10000
This policy applies to Freelancer (Creative) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 22.8% with a maximum repayment period of 36 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_081.txt,POL-081,Freelancer (Creative),10000
This policy applies to Freelancer (Creative) applicants purchasing New Only vehicles. The interest rate is set at 20.43% with a maximum repayment period of 84 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 35%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_082.txt,POL-082,Freelancer (Creative),7000
This policy applies to Freelancer (Tech) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 20.03% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_083.txt,POL-083,Freelancer (Tech),40000
This policy applies to Expat (Remittance) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.49% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_084.txt,POL-084,Expat (Remittance),7000
This policy applies to Corporate (Multinational) applicants purchasing Commercial Trucks vehicles. The interest rate is set at 15.78% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_085.txt,POL-085,Corporate (Multinational),25000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 17.19% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 40%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_086.txt,POL-086,Salaried (Private),15000
This policy applies to Salaried (Private) applicants purchasing New Only vehicles. The interest rate is set at 14.14% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_087.txt,POL-087,Salaried (Private),40000
This policy applies to Retired / Pensioner applicants purchasing New Only vehicles. The interest rate is set at 14.83% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_088.txt,POL-088,Retired / Pensioner,5000
This policy applies to Self-Employed (Professional) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 20.24% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 7000 EGP.,policy_089.txt,POL-089,Self-Employed (Professional),7000
This policy applies to Salaried (Private) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.61% with a maximum repayment period of 72 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_090.txt,POL-090,Salaried (Private),15000
This policy applies to Salaried (Public Sector) applicants purchasing Used (Up to 10 yrs) vehicles. The interest rate is set at 16.18% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 45%. Minimum verifiable monthly income requirement is 15000 EGP.,policy_091.txt,POL-091,Salaried (Public Sector),15000
This policy applies to Corporate (Local LLC) applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 14.85% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 55%. Minimum verifiable monthly income requirement is 5000 EGP.,policy_092.txt,POL-092,Corporate (Local LLC),5000
This policy applies to Salaried (Private) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 18.93% with a maximum repayment period of 60 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 25000 EGP.,policy_093.txt,POL-093,Salaried (Private),25000
This policy applies to Retired / Pensioner applicants purchasing Electric/Hybrid vehicles. The interest rate is set at 12.58% with a maximum repayment period of 48 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 60%. Minimum verifiable monthly income requirement is 40000 EGP.,policy_094.txt,POL-094,Retired / Pensioner,40000
This policy applies to Corporate (Local LLC) applicants purchasing Used (Up to 5 yrs) vehicles. The interest rate is set at 17.68% with a maximum repayment period of 96 months. Applicants must not exceed a Debt Burden Ratio (DBR) of 50%. Minimum verifiable monthly income requirement is 10000 EGP.,policy_095.txt,POL-095,Corporate (Local LLC),10000
